' Device: 0018; Hardware: v03.07.02; Firmware: v03.07.02,,,,,,,,,,,
' Test ID: 0,,,,,,,,,,,
' Run Started: 11/06(Jun)/2022 18:13:26,,,,,,,,,,,
' Scan Freq (Hz): 2000,,,,,,,,,,,
' Log Time (sec): 60; Delay Time (sec): 30; Clock Adj.: 1.000000,,,,,,,,,,,
' ,,,,,,,,,,,
' Time,DateTime,Scan,X1-X,X1-Y,X1-Z,X2-X,X2-Y,X2-Z,G2-X,G2-Y,G2-Z
' (Sec),(Serial),Number,(g),(g),(g),(g),(g),(g),(°/sec),(°/sec),(°/sec)
0.104,44723.75968,208,-0.93,-0.05,-0.1,-1,0,0.04,2.3,-0.2,0.1
0.1045,44723.75968,209,-0.83,0.05,0.2,-1,-0.01,0.03,-3.3,-1.1,1.6
0.105,44723.75968,210,-1.02,-0.05,-0.1,-1.01,0,0.03,-2,0.6,1.7
0.1055,44723.75968,211,-0.83,0.05,0,-1,0,0.03,0,-0.7,-2
0.106,44723.75968,212,-0.83,0.15,0.29,-1,0,0.03,-1.6,-0.7,-3.5
0.1065,44723.75968,213,-0.93,-0.05,-0.2,-1,-0.01,0.04,-0.6,0.1,0.4
0.107,44723.75968,214,-1.12,-0.05,-0.1,-1,0,0.02,1.7,-0.9,1.7
0.1075,44723.75968,215,-0.93,-0.15,0.1,-1,-0.01,0.02,-0.9,1,-1.5
0.108,44723.75968,216,-1.22,-0.05,0.29,-1,0,0.04,2.9,-0.6,-2.1
0.1085,44723.75968,217,-0.93,0.05,0.2,-0.99,0.01,0.04,-1.1,-1,-1.6
0.109,44723.75968,218,-0.83,0.05,-0.1,-0.99,0.01,0.04,-0.6,1.3,0
0.1095,44723.75968,219,-0.93,-0.15,-0.29,-1.01,0,0.02,-1.1,0.4,1.3
0.11,44723.75968,220,-1.02,0.05,0.29,-1.02,-0.01,0.04,2.4,-1.5,-2.1
0.1105,44723.75968,221,-1.12,-0.05,-0.1,-1.01,0.01,0.03,0.4,-0.9,-1.1
0.111,44723.75968,222,-0.93,0.05,0.29,-1.02,0,0.03,2.6,-0.4,-0.1
0.1115,44723.75968,223,-1.02,0.24,0.29,-1.01,0,0.04,-0.4,-1.3,-1.2
0.112,44723.75968,224,-0.93,0.05,0,-1,0.01,0.03,-1.3,0.1,2.9
0.1125,44723.75968,225,-1.12,-0.15,0.1,-1,0,0.03,-1.2,0.6,0.1
0.113,44723.75968,226,-0.83,-0.05,-0.1,-1.01,0,0.03,0.5,-1.3,0.1
0.1135,44723.75968,227,-0.83,-0.05,0.1,-1.01,0,0.04,-2.6,1.6,0.6
0.114,44723.75968,228,-1.02,-0.05,0,-1.01,0.01,0.04,1.5,-2.1,-0.5
0.1145,44723.75968,229,-0.83,0.05,-0.1,-1.01,-0.01,0.04,-0.2,0.9,1.2
0.115,44723.75968,230,-0.93,-0.05,0.1,-1,-0.01,0.04,-1.1,-0.1,0.4
0.1155,44723.75968,231,-0.93,-0.05,0,-0.99,0,0.03,2.2,-2,-0.9
0.116,44723.75968,232,-1.12,-0.05,-0.1,-0.99,-0.02,0.02,-0.4,-1,-1.1
0.1165,44723.75968,233,-1.02,-0.34,-0.1,-0.99,-0.01,0.04,0.7,0.4,1.7
0.117,44723.75968,234,-1.02,-0.15,0.1,-1,0,0.03,1.2,0.2,1.3
0.1175,44723.75968,235,-0.93,0.05,0,-1,-0.01,0.03,-1.6,1.7,0.5
0.118,44723.75968,236,-0.93,-0.15,0.1,-0.99,0,0.03,-1.1,-1.7,-0.9
0.1185,44723.75968,237,-0.93,0.05,0,-0.99,0.01,0.04,0,-0.5,1
0.119,44723.75968,238,-0.73,-0.15,0.1,-0.99,0,0.03,0.5,1.2,1.7
0.1195,44723.75968,239,-0.93,0.15,0.1,-1.01,-0.01,0.02,1.5,-0.5,0.4
0.12,44723.75968,240,-0.73,0.15,0.29,-1.01,0,0.02,0.6,0.5,0
0.1205,44723.75968,241,-1.12,0.15,0.1,-1.01,0,0.03,1.2,-2.4,0.2
0.121,44723.75968,242,-0.93,-0.05,0.2,-1,0,0.03,0.4,-0.9,-0.9
0.1215,44723.75968,243,-0.83,-0.05,-0.2,-1,-0.02,0.03,-1.7,-0.6,-1.5
0.122,44723.75968,244,-1.02,-0.24,0.1,-1.01,0,0.03,0.9,-1.7,1.6
